strain	TE	absence_detection	presence_detection	combination	read_number_absence	left_match_length	left_match_id	polyAT_left	left_coverage	left_repeat	left_read_number_presence	left_filtered_read_number_presence	right_match_length	right_match_id	polyAT_right	right_coverage	right_repeat	right_read_number_presence	right_filtered_read_number_presence
SRR2033160	FBti0062979	present	present	present	0	60	98.33(1/60)		23.87		9	9	60	100.00(0/60)		20.99		16	16
SRR2033160	FBti0060429	present	present	present	0	60	100.00(0/60)		25.23		14	14	60	100.00(0/60)		25.43		19	19
SRR2033160	FBti0063942	present	present	present	0	60	100.00(0/60)		12.47		6	6	60	98.33(1/60)		18.91	BEL-4_DFi-I	13	13
SRR2033160	FBti0019285	absent	present	polymorphic	7	60	100.00(0/60)		14.20		12	12	60	100.00(0/60)		21.04		13	13
SRR2033160	FBti0060661	present	present	present	0	60	100.00(0/60)		32.00		18	18	60	100.00(0/60)		21.86		13	13
SRR2033160	FBti0019117	present	present	present	0	60	100.00(0/60)		5.84		5	5	60	100.00(0/60)		10.72		4	4
SRR2033160	FBti0020145	absent	present	polymorphic	4	60	100.00(0/60)		6.36		6	6	60	100.00(0/60)	poly(A)4	7.75		3	3
SRR2033160	FBti0060113		present	polymorphic		60	100.00(0/60)		9.79	Gypsy-7_DSim-LTR	9	9	60	100.00(0/60)		9.97		8	8
SRR2033160	FBti0019510	present	present	present	0	60	100.00(0/60)		8.69		4	4	60	100.00(0/60)		23.43	Mariner-2_DT	8	8
SRR2033160	FBti0060506	present	present	present	0	60	100.00(0/60)		28.86		26	26	60	100.00(0/60)		27.57		14	14
SRR2033160	FBti0061759		present	polymorphic		60	100.00(0/60)		3.17	A-rich	1	1	60	100.00(0/60)		22.69		12	12
SRR2033160	FBti0020048	absent	present	polymorphic	12	60	100.00(0/60)		11.01		3	3	60	100.00(0/60)		13.62		5	5
SRR2033160	FBti0061405		present	polymorphic		60	100.00(0/60)		20.68	R1_DYa	15	15	60	96.67(2/60)	poly(A)4	25.71	R1_DYa	21	21
SRR2033160	FBti0020100	absent	present	polymorphic	11	60	100.00(0/60)		17.46		7	7	60	100.00(0/60)		21.51		15	15
SRR2033160	FBti0061745		present	polymorphic		60	100.00(0/60)		17.18	PROTOP	16	16	60	100.00(0/60)		25.30		18	18
SRR2033160	FBti0020170	absent	present	polymorphic	4	60	100.00(0/60)		9.61		4	4	60	100.00(0/60)		6.32		4	4
SRR2033160	FBti0063688	present	present	present	0	60	100.00(0/60)		20.52		14	14	60	98.33(1/60)		17.74		11	11
SRR2033160	FBti0019380	present	present	present	0	60	100.00(0/60)		11.02		5	5	60	100.00(0/60)		10.77		3	3
SRR2033160	FBti0019735	absent	present	polymorphic	1	60	100.00(0/60)		10.18		4	4	46	100.00(0/46)		6.19		3	3
SRR2033160	FBti0019391	absent	present	polymorphic	4	60	100.00(0/60)		12.73	(TGGCT)n	10	10	60	100.00(0/60)		16.09	(AGC)n	6	6
SRR2033160	FBti0019106	present	present	present	0	60	100.00(0/60)		15.93		2	2	60	100.00(0/60)		12.22		7	7
SRR2033160	FBti0061734	present	present	present	0	60	100.00(0/60)		2.33		1	1	60	98.33(1/60)		7.37		4	4
SRR2033160	FBti0020187	absent	absent	absent	9	-6	0(0/0)		2.00		0	0	-1	0(0/0)		7.74		0	0
SRR2033160	FBti0061859	present	present	present	0	60	100.00(0/60)		19.17		10	10	60	100.00(0/60)		12.49		8	8
SRR2033160	FBti0060342	present	present	present	0	60	100.00(0/60)		13.99		7	7	60	100.00(0/60)		17.38	Helitron-N2_DEl	15	15
SRR2033160	FBti0062367	present	present	present	0	60	100.00(0/60)		21.68		15	15	60	100.00(0/60)		20.66		15	15
SRR2033160	FBti0018960	present	present	present	0	60	100.00(0/60)		17.78	(ACAG)n	6	6	60	100.00(0/60)		16.16		8	8
SRR2033160	FBti0019516	present	present	present	0	60	100.00(0/60)		22.60		12	12	60	100.00(0/60)		19.84		8	8
SRR2033160	FBti0063955	present	present	present	0	60	100.00(0/60)		23.66		16	16	60	100.00(0/60)		12.37		8	8
SRR2033160	FBti0063958	present	present	present	0	60	98.33(1/60)		13.79		6	6	60	100.00(0/60)		18.82		6	6
SRR2033160	FBti0060578		present	polymorphic		60	100.00(0/60)		26.07	Gypsy-8_DSim-I	19	19	60	100.00(0/60)		35.94	Gypsy-8_DSim-I	23	23
SRR2033160	FBti0061038		present	polymorphic		60	100.00(0/60)		32.98	Gypsy-26_DYa-LTR	17	17	60	100.00(0/60)		24.26	DNAREP1_DM	17	17
SRR2033160	FBti0063136		present	polymorphic		60	100.00(0/60)		11.62	DNAREP1_DSim	8	8	60	100.00(0/60)		11.69	DNAREP1_DSim	6	6
SRR2033160	FBti0020007	absent	present	polymorphic	3	60	100.00(0/60)		12.49		13	13	60	100.00(0/60)		17.79		11	11
SRR2033160	FBti0020328	present	present	present	0	60	100.00(0/60)		27.68		28	28	60	100.00(0/60)		27.81	(CA)n	15	15
SRR2033160	FBti0019829	present	present	present	0	60	100.00(0/60)		8.30	DNAREP1_DM	7	7	60	100.00(0/60)		14.10		10	10
SRR2033160	FBti0061791		present	polymorphic		60	98.33(1/60)		25.38	BEL-4_DFi-I	20	20	60	100.00(0/60)		37.07		24	24
SRR2033160	FBti0062246		present	polymorphic		60	100.00(0/60)		37.67		25	25	60	100.00(0/60)		29.23	DNAREP1_DM	15	15
SRR2033160	FBti0063079	present	present	present	0	60	100.00(0/60)		26.09		11	11	60	100.00(0/60)		33.98		13	13
SRR2033160	FBti0020306	present	present	present	0	60	100.00(0/60)		16.59		7	7	60	100.00(0/60)		23.21		12	12
SRR2033160	FBti0060427	present	present	present	0	60	100.00(0/60)		32.90		26	26	60	100.00(0/60)		25.14		17	17
SRR2033160	FBti0020273	present	present	present	0	60	100.00(0/60)		27.83		22	22	60	98.33(1/60)		42.79		24	24
SRR2033160	FBti0018876	present	present	present	0	60	100.00(0/60)		10.97		5	5	60	100.00(0/60)		16.02		8	8
SRR2033160	FBti0019249	present	present	present	0	60	98.33(1/60)		27.59		15	15	60	100.00(0/60)		17.81		5	5
SRR2033160	FBti0019974	absent	present	polymorphic	5	60	100.00(0/60)		13.62	(CCAATC)n	7	7	60	100.00(0/60)		16.11		5	5
SRR2033160	FBti0061061		present	polymorphic		60	98.33(1/60)	poly(A)4	21.80	G5_DM	12	12	60	100.00(0/60)		22.48	Gypsy-5_DEr-LTR	10	10
SRR2033160	FBti0062258		present	polymorphic		60	100.00(0/60)		29.04	R1-1_DEr	16	16	60	100.00(0/60)		33.43		23	23
SRR2033160	FBti0018884	absent	present	polymorphic	7	60	100.00(0/60)		18.46	(CA)n	9	9	60	100.00(0/60)		15.87		9	9
SRR2033160	FBti0018965	absent	present	polymorphic	1	60	100.00(0/60)		15.21		7	7	60	100.00(0/60)		12.80		6	6
SRR2033160	FBti0061762		present	polymorphic		60	100.00(0/60)		21.31		16	16	60	100.00(0/60)		44.62	DNAREP1_DSim	34	34
SRR2033160			absent	no_data		-30	0(0/0)		0.00		0	0	60	0(0/0)		0.00		0	0
SRR2033160	FBti0019092	absent	present	polymorphic	8	60	100.00(0/60)		16.07		13	13	60	100.00(0/60)		3.77		1	1
SRR2033160	FBti0062136		present	polymorphic		60	100.00(0/60)		20.71		12	12	60	100.00(0/60)		17.17	Hoana5	13	13
SRR2033160	FBti0064029		present	polymorphic		60	100.00(0/60)		15.18		10	10	60	100.00(0/60)		16.90	Gypsy-14_DBi-I	10	10
SRR2033160	FBti0062809	present	present	present	0	60	100.00(0/60)		15.46		8	8	60	100.00(0/60)		15.82		10	10
SRR2033160	FBti0062408	present	present	present	0	60	100.00(0/60)		17.59		10	10	60	100.00(0/60)		4.59	(ATT)n	3	3
SRR2033160	FBti0018966	absent	present	polymorphic	4	60	100.00(0/60)		13.04	(GAGTC)n	4	4	60	100.00(0/60)		18.84		9	9
SRR2033160	FBti0063938	present	present	present	0	60	100.00(0/60)		15.38		12	12	60	100.00(0/60)		18.38		6	6
SRR2033160	FBti0060549	present	present	present	0	60	100.00(0/60)		10.79		4	4	60	100.00(0/60)		8.64		3	3
SRR2033160	FBti0060109	present	present	present	0	60	100.00(0/60)		19.71		14	14	60	100.00(0/60)		14.64	(TAATT)n	11	11
SRR2033160	FBti0063276		present	polymorphic		60	100.00(0/60)		25.28	DNAREP1_DSim	12	12	60	100.00(0/60)		18.32		3	3
SRR2033160	FBti0019027	absent	present	polymorphic	2	60	100.00(0/60)		8.80	GA-rich	1	1	60	100.00(0/60)		15.87		2	2
SRR2033160	FBti0063555	present	present	present	0	60	100.00(0/60)		17.51		11	11	60	100.00(0/60)		15.09		9	9
SRR2033160	FBti0062413		present	polymorphic		60	100.00(0/60)		14.66	(ATT)n	8	8	60	100.00(0/60)		25.88		11	11
SRR2033160	FBti0063868	present	present	present	0	60	100.00(0/60)	poly(A)7	8.09		4	4	60	100.00(0/60)		13.64		13	13
SRR2033160	FBti0019556	absent	present	polymorphic	3	60	100.00(0/60)		13.82		2	2	60	100.00(0/60)		8.93		6	6
SRR2033160	FBti0018945	present	present	present	0	60	100.00(0/60)		24.24		17	17	60	98.33(1/60)		17.07		6	6
SRR2033160	FBti0019699	present	present	present	0	60	100.00(0/60)		15.16		7	7	60	100.00(0/60)		18.09		15	15
SRR2033160	FBti0060460	present	present	present	0	60	100.00(0/60)		21.08		11	11	60	100.00(0/60)		26.06		14	14
SRR2033160	FBti0019740		present	polymorphic		60	100.00(0/60)		15.87	(T)n	9	9	60	100.00(0/60)		30.51	Jockey-1_DYa	15	15
SRR2033160	FBti0020144	absent	present	polymorphic	2	60	100.00(0/60)		16.72		9	9	60	100.00(0/60)		8.12		2	2
SRR2033160	FBti0060637		present	polymorphic		60	100.00(0/60)		18.56	BEL-4_DFi-I	15	15	60	98.33(1/60)		20.17		13	13
SRR2033160	FBti0064311	present	present	present	0	60	100.00(0/60)		7.39	(T)n	4	4	60	100.00(0/60)		10.65		4	4
SRR2033160	FBti0063690	present	present	present	0	60	100.00(0/60)		30.15		17	17	60	100.00(0/60)		38.60		16	16
SRR2033160	FBti0020244	present	present	present	0	60	100.00(0/60)		24.94	Gypsy-2_DTa-I	16	16	60	98.33(1/60)		15.90	(ATTTTT)n	5	5
SRR2033160	FBti0060348	present	present	present	0	60	100.00(0/60)		13.20		9	9	60	98.33(1/60)		13.18		7	7
SRR2033160	FBti0019538		absent	no_data		2	100.00(0/2)		18.13	A-rich	0	0	-1	0(0/0)		9.59	G-rich	0	0
SRR2033160	FBti0061014		present	polymorphic		60	100.00(0/60)		26.27	Helitron-1_DYak	13	13	60	100.00(0/60)		36.21		25	25
SRR2033160	FBti0019011	absent	present	polymorphic	5	60	100.00(0/60)		14.51		2	2	60	100.00(0/60)		14.42		4	4
SRR2033160	FBti0060458		present	polymorphic		60	100.00(0/60)		6.98	Helitron-1_DYak	5	5	60	100.00(0/60)		11.37		5	5
SRR2033160	FBti0019467	absent	absent	absent	13	0	0(0/0)		3.92		0	0	-8	0(0/0)		3.61		0	0
SRR2033160	FBti0020036	present	present	present	0	60	100.00(0/60)		12.34	(ATTGGT)n	3	3	60	100.00(0/60)		19.16	(TG)n	7	7
SRR2033160	FBti0019414	absent	present	polymorphic	3	60	100.00(0/60)		19.39		6	6	60	100.00(0/60)		11.51		3	3
SRR2033160	FBti0063012	present	present	present	0	60	98.33(1/60)		23.53		15	15	60	100.00(0/60)		23.29		11	11
SRR2033160	FBti0019748	present	present	present	0	60	100.00(0/60)		8.13		2	2	60	100.00(0/60)		24.81	(CATA)n	11	11
SRR2033160	FBti0062835		present	polymorphic		60	100.00(0/60)		45.33	I-2_DBp	35	35	60	100.00(0/60)		38.31	I-2_DBi	23	23
SRR2033160	FBti0020201	absent	present	polymorphic	6	60	100.00(0/60)		17.70		10	10	60	100.00(0/60)		14.46		7	7
SRR2033160	FBti0061372		present	polymorphic		60	98.33(1/60)		30.00	R1_DM	19	19	60	100.00(0/60)		12.14	DNAREP1_DM	10	10
SRR2033160	FBti0061637		present	polymorphic		60	100.00(0/60)		21.57	Gypsy-1_DSim-I	16	16	60	98.33(1/60)		31.74	Gypsy-1_DSim-I	13	13
SRR2033160	FBti0062045	present	present	present	0	60	100.00(0/60)		14.01	(AATAACA)n	13	13	60	100.00(0/60)		31.53		17	17
SRR2033160	FBti0020416	absent	present	polymorphic	2	60	100.00(0/60)		3.64		0	0	60	100.00(0/60)		7.16		7	7
SRR2033160	FBti0019008	present	present	present	0	60	100.00(0/60)		18.12		7	7	60	100.00(0/60)	poly(A)5	8.21		3	3
SRR2033160	FBti0060897		present	polymorphic		60	100.00(0/60)		19.31	Helitron-N1_DBi	9	9	60	100.00(0/60)		19.16		14	14
SRR2033160	FBti0019421	present	present	present	0	60	100.00(0/60)		15.43		9	9	60	100.00(0/60)		11.93		13	13
SRR2033160	FBti0063268	present	present	present	0	60	100.00(0/60)		31.09		9	9	60	100.00(0/60)		24.49		18	18
SRR2033160	FBti0020185	absent	present	polymorphic	7	60	100.00(0/60)		15.50		7	7	60	100.00(0/60)		8.66		2	2
SRR2033160	FBti0020243	absent	present	polymorphic	7	50	100.00(0/50)		0.61	Gypsy-10_DEu-I	1	1	60	100.00(0/60)		17.50		11	11
SRR2033160	FBti0020188	absent	present	polymorphic	1	60	100.00(0/60)		19.27		10	10	60	100.00(0/60)		9.56		1	1
SRR2033160	FBti0020088	absent	present	polymorphic	7	27	100.00(0/27)		9.49		6	6	38	100.00(0/38)		8.51		3	3
SRR2033160	FBti0060935	present	present	present	0	60	91.67(5/60)		22.26		16	16	60	96.67(2/60)		19.72		10	10
SRR2033160	FBti0020092	absent	present	polymorphic	2	60	100.00(0/60)		21.53		9	9	60	100.00(0/60)		6.86		1	1
SRR2033160	FBti0019855		present	polymorphic		60	100.00(0/60)		11.91	Gypsy-29_DYa-I	5	5	60	100.00(0/60)		36.21	Gypsy-29_DYa-I	26	26
SRR2033160	FBti0019284	present	present	present	0	60	100.00(0/60)		22.68		13	13	60	100.00(0/60)		18.74		15	15
SRR2033160	FBti0019523	absent	present	polymorphic	10	60	100.00(0/60)		17.68		17	17	60	100.00(0/60)		8.75		3	3
SRR2033160	FBti0060832		present	polymorphic		60	98.33(1/60)		32.11	hAT-2_DY	21	21	60	100.00(0/60)		10.38	hAT-2_DY	9	9
SRR2033160	FBti0060649	present	present	present	0	60	100.00(0/60)		20.16		12	12	60	100.00(0/60)		24.43		10	10
SRR2033160	FBti0062239		present	polymorphic		60	100.00(0/60)		28.51	Gypsy12-I_Dya	13	13	60	100.00(0/60)		25.11	Gypsy12-I_Dya	23	23
SRR2033160	FBti0019698	present	present	present	0	60	100.00(0/60)		23.74	(ATAT)n	13	13	60	100.00(0/60)		30.46		15	15
SRR2033160	FBti0019015		absent	no_data		-26	0(0/0)		4.44	DNAREP1_DM	0	0	3	100.00(0/3)		6.59		0	0
SRR2033160	FBti0020172	absent	present	polymorphic	4	60	100.00(0/60)		12.75		9	9	60	100.00(0/60)		10.20		4	4
SRR2033160	FBti0062187	present	present	present	0	60	96.67(2/60)		16.47		9	9	60	100.00(0/60)		18.84	(CATATA)n	16	16
SRR2033160	FBti0019399	present	present	present	0	60	100.00(0/60)		22.06	(ATAC)n	7	7	60	100.00(0/60)		11.12		8	8
SRR2033160	FBti0019016	absent	present	polymorphic	2	60	100.00(0/60)		7.59		5	5	60	100.00(0/60)		11.97		3	3
SRR2033160	FBti0019417	absent	present	polymorphic	2	60	100.00(0/60)		12.91	(AATT)n	3	3	56	100.00(0/57)		7.37		0	0
SRR2033160	FBti0020121	absent	present	polymorphic	6	60	100.00(0/60)		10.20		5	5	60	100.00(0/60)		14.18		6	6
SRR2033160	FBti0019160	absent	present	polymorphic	2	60	100.00(0/60)		6.79		3	3	60	100.00(0/60)		11.00		8	8
SRR2033160	FBti0063104		present	polymorphic		60	100.00(0/60)		18.29	Transib-2_DRh	4	4	60	100.00(0/60)	poly(A)8	5.74		3	3
SRR2033160	FBti0062411		present	polymorphic		60	100.00(0/60)		31.49	DNAREP1_DSim	20	20	60	100.00(0/60)		31.99	DNAREP1_DSim	22	22
SRR2033160	FBti0020079	present	present	present	0	60	100.00(0/60)		27.75		23	23	60	98.33(1/60)		27.29		20	20
SRR2033160	FBti0019660	absent	absent	absent	3	-7	0(0/0)		2.26		0	0	-8	0(0/0)		3.45		0	0
SRR2033160	FBti0061321		present	polymorphic		60	100.00(0/60)		26.57	Jockey-1_DEr	16	16	60	100.00(0/60)		26.29		14	14
SRR2033160	FBti0063007	absent	present	polymorphic	7	60	100.00(0/60)		10.06		2	2	60	100.00(0/60)		14.41		4	4
SRR2033160	FBti0019340	present	present	present	0	60	100.00(0/60)		6.11	(T)n	1	1	60	100.00(0/60)		14.01		7	7
SRR2033160	FBti0060681	absent	absent	absent	12	-6	0(0/0)		2.83	(ATCTGTT)n	0	0	-6	0(0/0)		2.52		0	0
SRR2033160	FBti0062948		present	polymorphic		60	98.33(1/60)		33.83	Gypsy-7_DFi-I	22	22	60	98.33(1/60)		30.74	Gypsy-1_DSe-I	18	18
SRR2033160	FBti0063060	present	present	present	0	60	98.33(1/60)		12.07	Mariner-10_DEl	6	6	60	100.00(0/60)		11.80		5	5
SRR2033160	FBti0019993		present	polymorphic		60	98.33(1/60)		17.09		4	4	60	96.67(2/60)		14.64	Jockey-1_DK	5	5
SRR2033160	FBti0063237	present	present	present	0	60	98.33(1/60)		17.99		11	11	60	100.00(0/60)		25.29		18	18
SRR2033160	FBti0062285	present	present	present	0	60	100.00(0/60)		31.59		20	20	60	100.00(0/60)		34.86		20	20
SRR2033160	FBti0020022	absent	present	polymorphic	4	60	100.00(0/60)		11.45		4	4	60	100.00(0/60)		12.28		3	3
SRR2033160	FBti0061106	present	present	present	0	60	100.00(0/60)		41.69		27	27	60	100.00(0/60)		45.17		36	36
SRR2033160	FBti0060364		present	polymorphic		60	100.00(0/60)		23.37	Gypsy-30_DWil-I	18	18	60	100.00(0/60)		20.40	Gypsy-4_DSe-I	14	14
SRR2033160	FBti0061271		present	polymorphic		60	100.00(0/60)		21.09		17	17	60	98.33(1/60)		29.61	Gypsy-21_DWil-I	15	15
SRR2033160	FBti0063922	present	present	present	0	60	100.00(0/60)		7.51		5	5	60	100.00(0/60)		15.47		13	13
SRR2033160	FBti0062242	present	present	present	0	60	100.00(0/60)		20.88	(ACTTT)n	13	13	60	100.00(0/60)		23.08		18	18
SRR2033160	FBti0061964		present	polymorphic		60	100.00(0/60)		26.56	Helitron-2N1_DVir	16	16	60	100.00(0/60)		27.58		16	16
SRR2033160	FBti0019349	absent	present	polymorphic	1	60	100.00(0/60)		21.28	(TA)n	12	12	60	100.00(0/60)		14.46		8	8
